NDR 0.29, RR 0.00, RA 0.31, AA 0.26
NDR 0.33, RR 0.00, RA 0.34, AA 0.32
NDR 0.29, RR 0.00, RA 0.28, AA 0.31
NDR 0.78, RR 0.00, RA 0.80, AA 0.74
NDR 0.26, RR 0.00, RA 0.19, AA 0.35
NDR 1.62, RR 0.00, RA 1.29, AA 2.08
NDR 0.46, RR 0.00, RA 0.56, AA 0.31
NDR 0.25, RR 0.00, RA 0.20, AA 0.33
NDR 0.26, RR 0.00, RA 0.25, AA 0.28
NDR 0.24, RR 0.00, RA 0.16, AA 0.36
NDR 0.29, RR 0.00, RA 0.32, AA 0.25
NDR 0.44, RR 0.00, RA 0.42, AA 0.48
NDR 0.41, RR 0.00, RA 0.20, AA 0.75
NDR 0.65, RR 0.00, RA 0.67, AA 0.62
NDR 0.22, RR 0.00, RA 0.14, AA 0.32
NDR 0.82, RR 0.00, RA 0.73, AA 0.93
NDR 0.24, RR 0.00, RA 0.20, AA 0.30
NDR 0.27, RR 0.00, RA 0.20, AA 0.37
NDR 0.28, RR 0.00, RA 0.28, AA 0.28
NDR 0.33, RR 0.00, RA 0.36, AA 0.28
NDR 0.32, RR 0.00, RA 0.37, AA 0.26
NDR 0.35, RR 0.00, RA 0.38, AA 0.30
NDR 0.34, RR 0.00, RA 0.36, AA 0.30
NDR 0.29, RR 0.00, RA 0.25, AA 0.34
NDR 0.35, RR 0.00, RA 0.42, AA 0.25
NDR 0.25, RR 0.00, RA 0.14, AA 0.40
NDR 0.39, RR 0.00, RA 0.46, AA 0.31
NDR 1.11, RR 0.00, RA 1.38, AA 0.73
NDR 0.22, RR 0.00, RA 0.14, AA 0.32
NDR 1.17, RR 0.00, RA 1.56, AA 0.61
NDR 0.29, RR 0.00, RA 0.26, AA 0.34
NDR 0.21, RR 0.00, RA 0.16, AA 0.27
NDR 0.33, RR 0.00, RA 0.34, AA 0.31
NDR 0.35, RR 0.00, RA 0.36, AA 0.35
NDR 0.24, RR 0.00, RA 0.17, AA 0.34
NDR 0.44, RR 0.00, RA 0.35, AA 0.55
NDR 0.23, RR 0.00, RA 0.22, AA 0.25
NDR 0.24, RR 0.00, RA 0.24, AA 0.24
NDR 0.32, RR 0.00, RA 0.23, AA 0.44
NDR 1.28, RR 0.00, RA 1.85, AA 0.42
NDR 0.89, RR 0.00, RA 0.61, AA 1.29
NDR 0.37, RR 0.00, RA 0.35, AA 0.40
NDR 0.31, RR 0.00, RA 0.34, AA 0.27
NDR 0.49, RR 0.00, RA 0.58, AA 0.38
NDR 0.30, RR 0.00, RA 0.22, AA 0.40
NDR 0.81, RR 0.00, RA 0.61, AA 1.13
NDR 0.43, RR 0.00, RA 0.52, AA 0.31
NDR 0.42, RR 0.00, RA 0.42, AA 0.42
NDR 0.23, RR 0.00, RA 0.21, AA 0.25
NDR 0.36, RR 0.00, RA 0.43, AA 0.26
NDR 0.40, RR 0.00, RA 0.41, AA 0.39
NDR 0.26, RR 0.00, RA 0.17, AA 0.39
NDR 0.25, RR 0.00, RA 0.25, AA 0.24
NDR 0.41, RR 0.00, RA 0.41, AA 0.41
NDR 0.24, RR 0.00, RA 0.21, AA 0.28
NDR 0.33, RR 0.00, RA 0.35, AA 0.31
NDR 0.63, RR 0.00, RA 0.80, AA 0.42
NDR 0.25, RR 0.00, RA 0.23, AA 0.28
NDR 0.32, RR 0.00, RA 0.35, AA 0.27
NDR 0.39, RR 0.00, RA 0.42, AA 0.35
NDR 0.67, RR 0.00, RA 0.52, AA 0.89
NDR 0.35, RR 0.00, RA 0.30, AA 0.42
NDR 0.61, RR 0.00, RA 0.33, AA 1.03
NDR 0.29, RR 0.00, RA 0.30, AA 0.26
NDR 0.31, RR 0.00, RA 0.32, AA 0.30
NDR 0.26, RR 0.00, RA 0.21, AA 0.34
NDR 0.36, RR 0.00, RA 0.42, AA 0.28
NDR 1.32, RR 0.00, RA 0.84, AA 1.98
NDR 0.33, RR 0.00, RA 0.39, AA 0.25
NDR 0.31, RR 0.00, RA 0.34, AA 0.28
NDR 0.28, RR 0.00, RA 0.21, AA 0.37
NDR 0.63, RR 0.00, RA 0.81, AA 0.36
NDR 0.35, RR 0.00, RA 0.43, AA 0.23
NDR 0.23, RR 0.00, RA 0.17, AA 0.32
NDR 0.26, RR 0.00, RA 0.28, AA 0.24
NDR 0.45, RR 0.00, RA 0.45, AA 0.45
